country
AFG
DZA
ARM
AZE
BGD
BEN
BTN
BOL
BFA
BDI
KHM
CMR
CPV
CAF
TCD
COL
COG
CRI
CIV
CUB
COD
DJI
DOM
PRK
ECU
EGY
SLV
ETH
GMB
GEO
GHA
GTM
GIN
GNB
HTI
HND
IND
IDN
IRN
IRQ
JOR
KEN
KGZ
LAO
LBN
LSO
LBR
MDG
MWI
MLI
MRT
MOZ
MMR
NAM
NPL
NIC
NER
NGA
PAK
PAN
PER
PHL
RWA
STP
SEN
SLE
SOM
SSD
LKA
PSE
SDN
SWZ
SYR
TJK
TLS
TGO
TUN
TUR
UGA
TZA
YEM
ZMB
ZWE
